UST Yield - US 30Y Mortgage Yield Spread,(-) ASIA HY Credit Spread,(-) DE-US 10Y Yield Spread,IT-DE 10Y Yield Spread,(-) US 10Y High Yield Spread (Baa),(-) EMBI+ Credit Spread(Global),US CP Spread(3m),(-) China CDS 5Y
-1.192814658,-0.636727357,-1.76406117,-1.900135491,-0.84795951,-0.357745516,-1.364230302,-1.777042287
-0.95833619,-0.767025956,-1.464239563,-1.271252147,-0.620298249,0.404893952,-1.537386854,-1.178242462
-1.192814658,-0.667260049,-1.437833756,-2.065229236,-0.807305713,0.08432747,-1.357219916,-1.272542192
-2.013489296,-0.847465276,-1.411369304,-2.52861247,-1.083751529,-0.421858812,-1.142001043,-1.687931464
-2.541065849,-0.689293463,-1.60609281,-2.866732627,-1.53907405,-0.660149591,-1.109753264,-1.708617905
-1.603151977,-0.640783652,-1.576235001,-3.142333935,-1.091882288,-0.015020896,-0.513870393,-1.354319361
-1.192814658,-0.676516924,-1.503790964,-2.796487138,-0.685344324,0.711657006,-0.19840299,-1.019877032
0.21405615,-0.539526229,-1.634577815,-1.873937995,-0.368244711,1.081080363,0.148611153,-0.730163078
0.272675767,-0.482240932,-1.565087304,-1.675438031,-0.335721674,1.290856163,0.39818092,-0.016584638
-0.95833619,-0.376216968,-1.501034694,-1.688294895,-0.563382934,1.15590948,0.434634931,-0.016584638
-0.95833619,-0.294499205,-1.371264784,-1.363486914,-0.15684497,1.55984141,0.164735042,0.59017151
-0.782477339,-0.348927734,-1.412424896,-0.796340421,0.298477551,1.791956971,0.307746932,0.419594853
-0.95833619,-0.149695802,-1.349685113,-1.080527769,0.257823754,1.46430715,0.69401924,0.383237914
-0.95833619,-0.210966368,-1.131246761,-1.464365773,0.444831218,1.230193724,0.751504411,0.443360045
-1.192814658,-0.12508972,-1.199457765,-1.187727493,0.379785144,1.172800518,0.545399042,0.198374467
-1.368673509,-0.293852092,-1.102444545,-0.713083262,0.753800071,1.336080557,0.587461362,0.101514877
-1.485912743,-0.326799621,-0.944940006,-0.926073521,0.160254643,0.247062636,0.576945782,-0.929590056
-1.427293126,-0.115888086,-0.599521333,-0.937108,0.461092737,0.384188808,0.422717274,-1.592663138
-0.899716573,-0.189485369,-0.602095006,-0.587314789,0.574923367,0.134637337,0.534182423,-1.399532034
-0.489379254,0.071916774,-0.679731706,-0.578445317,0.680623238,0.156977097,0.386263263,-0.163776623
-0.137661552,0.104532855,-0.783704907,-0.529394588,0.753800071,0.38291744,0.687709892,-0.122784261
0.038197299,0.061847062,-0.52256437,-0.463802385,1.030245887,0.198205761,0.842639439,0.190383551
0.038197299,0.143012412,-0.452178205,-0.339387326,1.22538411,0.339690911,0.81529893,0.188930657
0.272675767,0.062217968,-0.439237867,-0.126784083,1.298560944,0.206560468,0.671586003,-0.505967719
0.272675767,0.120489718,-0.457749388,-0.01665329,1.23351487,-0.161591521,0.682802621,-0.502750597
0.155436533,0.070662006,-0.338319486,0.197575416,1.387999296,0.322799873,0.686307815,-0.572904615
0.21405615,0.083880475,-0.284950753,0.389762483,1.493699167,0.779766032,0.656163152,-0.430555609
0.448534618,0.1542343,-0.31012237,0.383579351,1.444914611,1.003890134,0.700328588,-0.229537366
0.80025232,0.173063715,-0.186567394,0.526868218,1.566876001,1.400738725,0.623214334,0.148491778
0.565773852,0.23389235,-0.059117921,0.421655929,1.314822463,1.392565642,0.547502158,0.052185671
0.272675767,0.211740562,0.021289709,0.401523184,0.981461332,0.887469105,0.564327086,0.031568415
0.507154235,0.232621798,0.184629329,0.655169362,0.88389222,0.844605825,0.482305561,0.089857133
0.448534618,0.050767222,0.040093118,0.483063818,0.412308181,0.190759174,0.429727661,-0.274819225
0.683013086,0.090982937,0.19036045,0.53854241,0.469223496,0.170962151,0.436037009,-0.125828419
0.624393469,-0.065286995,0.240866289,0.716447487,-0.173106488,-0.793824907,0.318262512,-0.169726569
0.272675767,-0.390011526,0.068835357,0.806045999,-0.376375471,-1.545385306,0.309149009,-0.635621199
0.976111171,-0.185121301,0.326044078,0.858982813,0.062685531,-1.116570878,0.26638565,-0.498564879
