S&P500 12MF EPS YoY,S&P500 12MF EPS Drawdown(12M)\,EM 12MF EPS YoY,US BEI 5Y5Y,Copper/금 Ratio,독일 제조업 3개월후 수출기대지수???,미국 CEO Confidence Index???,독일 ZEW 현재 경제 상황,WTI YOY???,LME YOY???,Citi Macro Risk Index???,US State Coincident Index,컨퍼런스보드,미시간대,NFIB Small Business,MFG ISM,NON MFG ISM,Philly FED,NAHB,EM/CN,DM/EU,American Association of Individual Investors % Bullish,StateStreet Investor Confidence Index,Credit Managers' Index,Homebuyer Confidence,China MFG PMI,ISM New Order Index - Inventory Index,ISM New Order Index,"New York Fed, Weekly Economic Index",엠파이어스테이트 제조업 지수,미국 경기 선행지수 LEI,경기 체감 지수,내구재 구입 여건,실업률 서베이,미국 존슨 레드북 지수,Sahm Rule Recession Indicator
-0.163731782,0.193771275,-0.139725411,0.945330351,0.016045094,-0.084524394,-0.384138424,-0.626460504,0.150362572,-0.938968037,-0.003552225,0.408687976,-1.01037956,-0.546201838,-0.41925301,-0.234598557,-0.096180721,-0.014947261,-1.319366945,-0.114114994,-0.350769376,1.398952349,-0.793958298,0.336494655,0.529545368,0.231957852,0.478327264,0.341235861,-0.25088602,0.791024099,0.143828291,-0.349669262,-0.246958204,0.402175967,-0.358075534,0.301065184
-0.2419273,0.439026517,-0.302121719,1.156923881,0.259243146,0.04366426,-0.462256314,-0.541665551,-0.115502187,-0.883525767,0.420192096,0.408687976,-1.095629844,-0.476668022,-0.66830284,-0.185159024,-0.192568727,-0.114864262,-1.319366945,-0.088113225,-0.407411965,0.815818165,-0.403973711,0.506802154,0.644987748,1.477870079,0.372885354,0.144105626,-0.162656109,0.655274835,-0.032105977,0.046574622,-0.390592431,0.402175967,-0.216777907,0.301065184
-0.297628533,0.439026517,-0.510368742,1.172666069,0.152120195,0.143811646,-0.64973925,-0.503730967,-0.34162288,-1.059154882,0.304708129,0.340573314,-1.128106143,-0.461216062,-0.47262083,0.235077004,-0.288956734,-0.314698265,-1.517431717,-0.059501613,-0.479192885,-0.595969296,-0.75495984,0.038456532,0.529545368,1.596528387,0.568706044,0.477710639,0.000569225,0.132640168,-0.082372911,0.153717559,-0.318775318,-0.205399812,-0.153193975,0.253523964
-0.343181489,0.439026517,-0.72145456,0.895557256,0.123168046,0.038656891,-0.49350347,-0.548359889,-0.353198568,-0.97515201,-0.263618481,0.204343988,-1.302666249,-0.237162653,-0.508199378,-0.259318323,-0.353215405,-0.71436627,-1.319366945,-0.021900542,-0.559678346,-0.94306796,-0.80175799,-0.174427842,0.760430128,-0.12401707,0.794652994,0.326071996,0.088799136,0.567037813,-0.208040246,-0.564268368,-0.103323976,0.159145656,-0.299201523,0.253523964
-0.378982373,0.439026517,-0.826375266,0.806660193,-0.31690462,-0.588265746,-1.11844659,-0.617534719,-0.546344725,-1.173408618,-0.327725723,0.136229325,-1.371678384,-0.708447411,-0.881774124,-1.173949679,-0.835155438,-1.445009341,-1.269850753,0.020291919,-0.641299181,-0.910402329,-0.271378952,-0.217004716,0.702708938,-0.242675377,-0.109134806,-1.326789204,-0.034722739,-0.288182551,-0.308574114,-1.253856599,-0.606043772,-0.326914967,-0.395754901,0.233149155
-0.566584885,0.209547127,-0.89370683,0.616364918,-0.125820436,-0.584259851,-1.43091815,-0.784893179,-0.429737045,-1.325577717,0.558863789,0.136229325,-1.262070876,-0.777981228,-0.952931218,-1.149229912,-1.317095471,-1.457498966,-0.972753595,0.065045893,-0.715098545,-0.953394514,-0.193382034,-0.685350339,0.644987748,-0.302004531,-1.088238256,-1.250969883,-0.08324919,-0.179583139,-0.409107981,-1.233124214,-0.318775318,-0.569945279,-0.546472369,0.233149155
-0.522774776,0.364414904,-0.845172536,0.85828531,-0.31690462,-0.923759489,-1.462165306,-0.914317054,0.03015528,-1.089150743,1.426357526,0.272458651,-1.428511907,-0.623461635,-0.739459935,-1.297548511,-1.317095471,-0.820528083,-0.87372121,0.109509884,-0.776976474,0.063454941,-0.450771862,0.336494655,0.644987748,-0.835966914,-1.916710406,-1.660394217,-0.061191712,-0.580043468,-0.33370758,-0.847169692,0.112127365,-0.569945279,-0.541762448,0.253523964
-0.47023844,0.439026517,-0.442705507,1.188871263,-0.250314677,-1.01990098,-1.259058792,-0.961177422,0.06447143,-0.456425381,1.705974218,0.272458651,-1.140284755,-0.314422449,-0.739459935,-0.852592716,-0.770896767,-0.670652582,-0.725172631,0.156197074,-0.822643773,-0.335487239,-0.739360456,0.123610282,0.933593697,-0.479991992,-0.470649926,-0.583759857,0.013803712,-0.865116923,-0.082372911,-0.120419191,-0.103323976,0.159145656,-0.405174743,0.321439993
-0.332431748,0.335399645,-0.527400952,1.479407237,-0.287952471,-1.306322504,-1.8215076,-0.883076808,-0.103069884,-0.085003299,1.71006617,0.408687976,-0.9494865,0.017794676,-0.686092114,-0.926752015,-0.610250089,-0.733100707,-0.675656438,0.213565289,-0.846234339,-0.902815473,-1.215141652,-0.259581591,0.644987748,-0.242675377,-0.606218096,-0.644415314,-0.047957226,-0.709005269,-0.157773312,0.171276259,-0.246958204,0.523691123,-0.60534638,0.321439993
-0.293808712,0.439026517,-0.312096775,1.292584503,-0.47614144,-0.630327648,-2.008990536,-0.929937177,-0.455961607,-0.238318745,1.277683285,0.408687976,-1.014439097,0.025520655,-1.717869983,-1.544746174,-0.738767431,-1.313868277,-0.477591667,0.285480962,-0.840431312,-0.65582116,-1.269739494,0.081033407,0.760430128,-0.005358762,-0.892417566,-1.235806018,-0.131775641,-0.451081667,-0.208040246,0.150130171,-0.031506863,0.523691123,-0.659510471,0.321439993
-0.269559631,0.439026517,-0.169627175,1.422226053,-0.125820436,-0.491122781,-1.852754756,-0.804976194,-0.449672193,0.045117417,1.325877382,0.408687976,-1.20929689,-0.73162535,-1.575555794,-1.025631081,-0.160439392,-0.508287455,-0.378559281,0.364936181,-0.805865456,0.608865592,-1.199542268,-0.046697217,0.702708938,-0.005358762,-0.741786266,-1.175150562,-0.065603208,-0.790454828,-0.308574114,0.123475935,-0.103323976,-0.083884656,-0.452273952,0.212774347
-0.306707168,0.386559973,-0.320259831,1.567378288,0.00156902,-0.332889911,-1.540283196,-0.711255456,-0.326711315,-0.231273804,1.655961477,0.136229325,-1.54623849,-0.662091533,-1.433241605,-0.234598557,-0.096180721,-0.751835145,-0.378559281,0.441104931,-0.743609069,1.047006528,-0.832956757,-0.174427842,0.875872507,-0.12401707,-0.184450456,-0.174335523,0.154971569,-0.905841702,-0.233173713,-0.305219925,0.040310251,-0.448430123,-0.522922765,0.165233126
-0.2684381,0.439026517,-0.394030711,1.527791315,0.169491484,0.298038621,-1.009081544,-0.646543519,-0.358987997,-0.396964623,1.274500656,0.136229325,-1.156522905,-0.368504306,-1.05966686,-0.01212066,0.128724628,-0.995382835,-0.428075474,0.504562779,-0.663691296,0.072095527,-0.419573095,-0.046697217,0.529545368,-0.302004531,0.463264134,0.432219046,0.004980721,0.227664653,-0.308574114,-0.068777347,0.183944478,-0.326914967,-0.419304505,0.165233126
-0.267725388,0.439026517,-0.350509031,1.490750872,-0.044754419,0.038656891,-1.134070168,-0.577368689,-0.498505811,-0.596923998,1.134010318,0.340573314,-1.404154683,-0.29124451,-1.219770322,-0.580675286,-0.096180721,-0.539511517,-0.52710786,0.560481081,-0.577592037,-0.057513263,-0.676962922,-0.344735341,0.760430128,0.172628699,-0.335081756,-0.568595993,-0.114129658,-0.064196265,-0.484508382,-0.12424889,0.255761592,-0.083884656,-0.334525929,0.253523964
-0.433090473,0.439026517,-0.288023999,1.3006871,0.033416384,0.171852915,-0.321644112,-0.474722167,-0.460370297,-0.671960034,0.772099933,0.408687976,-1.115927531,-0.461216062,-0.917352671,-0.803153183,-0.610250089,-0.645673331,-0.675656438,0.60692662,-0.488843571,-1.02315144,-0.294778027,-0.727927213,0.760430128,-0.005358762,0.162001534,-0.462448943,-0.237651533,-0.091346118,-0.308574114,0.201169192,-0.031506863,-0.326914967,-0.459338833,0.321439993
-0.454795303,0.439026517,-0.143987942,1.252534524,0.375051742,-0.237749895,-0.64973925,-0.474722167,-0.190226155,-0.518911519,0.756641449,0.272458651,-0.900772052,0.164588289,-0.508199378,-0.852592716,-0.449603411,-0.651918144,-0.52710786,0.651632263,-0.392147481,0.460289661,-0.146583884,0.251340906,0.875872507,0.113299545,-0.350144886,-0.598923721,-0.264120506,-0.471444057,-0.283440647,0.220991433,0.399395819,-0.083884656,-0.38869002,0.280690376
-0.411705276,0.439026517,-0.245150359,0.649469814,0.496650768,0.001602358,-0.290396956,-0.456870598,0.206770084,-0.389274489,-0.381375755,0.340573314,-0.584128139,0.13368437,-0.508199378,-0.778433417,-0.835155438,0.128683428,-0.180494509,0.695419628,-0.286873003,-0.538014146,0.781579433,0.46422528,0.991314887,-0.302004531,-0.395334276,-0.614087585,-0.070014703,-0.091346118,-0.157773312,0.508425751,0.183944478,-0.205399812,-0.329816008,0.233149155
-0.315803076,0.439026517,-0.162988693,0.956442484,0.684839737,0.022633309,-0.680986406,-0.296206477,0.276129883,-0.501068441,0.029183388,0.408687976,-0.628783049,0.210944167,-0.437042283,-0.110999725,-0.321086069,0.328517431,0.067086455,0.735968855,-0.175164734,2.022971258,0.851776658,0.208764031,0.991314887,-0.183346223,0.463264134,0.05312244,-0.012665261,-0.043833875,-0.082372911,0.86272615,0.543030047,-0.569945279,-0.275651918,0.301065184
-0.310300107,0.439026517,-0.148729118,1.306474669,0.658782803,0.293031252,-0.712233562,-0.220337309,0.13062566,-0.271713832,0.137847436,0.408687976,-0.596306751,-0.020835223,-0.508199378,-0.061560192,-0.288956734,-0.146088325,0.166118841,0.761438989,-0.060491876,-0.064889374,0.63338529,0.591955904,0.644987748,0.231957852,0.659084824,0.295744268,-0.008253766,0.261601969,0.143828291,0.509040394,0.183944478,0.0376305,-0.136709252,0.301065184
-0.251249269,0.439026517,-0.037729312,1.068026818,0.664573233,0.503340763,-0.899716498,-0.142236695,0.110817983,-0.702307232,-0.000369596,0.408687976,-0.661259348,-0.376230286,-0.543777925,0.086758406,-0.835155438,0.603289184,0.116602648,0.766513684,0.046674893,0.444272965,0.352596387,0.677109653,0.587266558,0.291287006,0.824779254,0.629349281,0.093210631,0.125852705,0.219228692,0.207764785,0.183944478,-0.448430123,-0.023671151,0.301065184
-0.1983025,0.439026517,0.016820881,0.948108384,0.852762202,0.406197798,-1.009081544,-0.463564937,0.108784273,-0.590916379,0.556135821,0.272458651,-0.977903261,-0.708447411,-0.952931218,0.086758406,-0.738767431,0.184886741,-0.031945931,0.753174487,0.134981825,1.343526151,-0.099785734,0.719686528,0.644987748,0.469274467,-0.109134806,0.204761083,0.022626703,-0.152433287,0.219228692,-1.301544633,-0.031506863,-0.81297559,-0.216777907,0.253523964
-0.209483969,0.439026517,-0.123577803,0.971490164,0.928037789,0.863871353,-0.899716498,-0.249346109,0.011597104,-0.548693226,0.982608109,0.272458651,-0.994141411,-0.561653798,-0.828406303,0.309236303,-0.995802115,-0.364656765,-0.031945931,0.72398291,0.205438141,0.796429532,-0.435172478,0.889994027,0.471824178,0.469274467,-0.018756026,0.523202231,0.207909515,-0.247457771,0.445429895,-0.30241266,-0.031506863,-0.569945279,-0.164968777,0.301065184
-0.247709457,0.439026517,-0.161972617,1.135857129,1.434700398,0.464283282,-0.243526222,-0.177939833,0.07599373,-0.686900692,0.804380884,0.272458651,-0.770866857,0.010068696,-0.543777925,0.556433967,-0.867284773,-0.420860078,0.116602648,0.674975859,0.262333036,1.695471973,-0.076386658,0.251340906,0.933593697,0.231957852,0.900094904,1.190412257,0.079976145,-0.179583139,0.470563362,0.784802402,0.686664274,-0.448430123,-0.2827168,0.348606405
-0.234335652,0.427900731,-0.359916699,1.190260279,1.336263091,0.736684172,-0.212279066,0.241572038,-0.191523572,-0.698413894,0.66889182,0.408687976,-0.693735647,-0.090369039,-0.508199378,-0.432356688,-0.321086069,0.291048555,0.067086455,0.606636637,0.312415681,0.66007687,1.366556313,0.975147777,0.702708938,-0.064687916,0.749463604,-0.219827116,-0.1714791,0.472013328,0.31976256,0.978769593,0.399395819,-0.326914967,-0.247392393,0.368981213
-0.300363053,0.38241523,-0.299076001,0.842080117,0.818019623,0.476300968,-0.618492094,0.201406008,-0.054189062,-0.781812253,0.362450112,0.408687976,-0.738390558,-0.059465121,-0.935141944,0.185637471,-0.899414109,-0.527021892,-0.428075474,0.531144513,0.353604557,0.590952182,2.021730419,0.251340906,0.644987748,-0.242675377,0.327695964,0.386727453,-0.096483676,0.064765536,0.420296428,0.753166011,0.399395819,-0.934490746,-0.294491602,0.280690376
