미국 Redbook 월간 소비증가율???,기업 파산건수,US PPI - CPI Index,Korea Export Growth,China Credit Impulse,미국 산업생산 증가율,"미국 자동차 판매: HEAVY & MEDIUM TRUCKS (백만대, 좌)",미국 제조업 신규수주,미국 제조업 판매대비 재고율,BDI,JOLTS,미국 자동차 제외 소매판매 (YoY),미국 전산업 가동률,US 기업+가계대출 증가율,미국 소비자 신용 변화율(아웃스탠딩)
-0.216777907,0.539197783,-0.425283193,0.180939761,-0.604168427,0.267761503,-0.339428626,0.522489293,0.94976853,1.086299176,-0.059988699,-0.527158545,-0.017022758,0.066511294,0.406418959
-0.164968777,0.396010342,-0.31757258,-0.309491517,-0.563368256,0.225958472,-0.520847375,0.158484092,1.145792661,0.504706242,-0.342050099,-0.546631214,-0.032458816,0.072228198,0.4526536
-0.2827168,0.434134882,-0.209861968,0.159921278,-0.295252849,0.216122464,-0.339428626,0.5159017,1.047780595,1.807237742,-0.462916167,-0.583423515,-0.028049525,0.049827649,0.464049277
-0.247392393,0.462360665,-0.17395843,-0.337516161,0.244863698,0.125139396,-0.520847375,-0.531159678,0.94976853,0.998821571,-0.392904806,-0.9562529,-0.096218571,0.059079048,0.454838639
-0.294491602,0.50166577,-0.102151355,-0.225417584,0.258463754,0.191532446,-0.158009878,-0.270095791,1.047780595,0.516448091,-0.191595691,-0.754846599,-0.021576611,0.277253525,0.442185937
-0.353365613,0.505662842,-0.066247818,-0.064275878,0.676179788,0.33169555,-0.158009878,0.824949293,0.94976853,0.725000613,-0.269860848,-0.509253118,0.12068844,0.321280185,0.446472337
-0.28742672,0.307536401,0.220980482,0.3000445,1.070581439,0.375957583,0.204827619,0.406311797,0.94976853,0.090657952,0.072979115,-0.192936752,0.168257828,0.391544662,0.404059062
-0.075480281,-0.568297764,-0.03034428,-0.428596256,1.097781553,0.454645642,0.023408871,0.500408656,0.851756465,0.051025407,0.074485137,-0.312490583,0.243271217,0.467798579,0.371923057
-0.200293184,-0.5009593,0.077366332,-0.155355973,0.495493318,0.508743682,0.023408871,0.932404327,0.851756465,-0.197577364,0.351440943,-0.129425469,0.276767493,0.472805607,0.360530741
-0.082545162,-0.313019518,0.149173407,0.040816539,0.54406495,0.65382479,0.567665117,1.445240343,0.94976853,-0.528952561,0.586452438,-0.257468283,0.393255431,0.529117854,0.284908295
0.018718137,-0.24393743,0.041462795,-0.351528484,0.874352046,0.459563646,0.204827619,0.384088835,0.851756465,-0.334991895,0.897579224,-0.033082501,0.224257572,0.653795126,0.272292381
0.030492939,-0.291897919,0.005559257,0.117884311,0.86463772,0.403006604,0.023408871,0.677236742,0.753744399,-0.58083016,0.30093447,-0.187122796,0.170847985,0.704598564,0.250303699
-0.035445953,-0.425337448,-0.138054893,-0.162362134,0.76166586,0.432514626,0.023408871,0.395596791,0.655732334,-0.686911377,0.284432106,-0.131598712,0.195734142,0.659338748,0.282013079
-0.056640597,-0.216264086,-0.245765505,-0.512670189,0.816066088,0.525956695,0.386246368,-0.44499233,0.459708203,-0.343671128,0.227562328,-0.04986887,0.27828241,0.743316796,0.176477321
0.011653256,-0.084573246,-0.676607955,-0.106312845,0.540179219,0.469399653,0.023408871,-0.065311096,0.459708203,-0.899317929,0.573828702,-0.188818591,0.229372517,0.776214275,0.098340656
-0.117869569,-0.2590317,-1.215161018,-0.39356545,0.689779845,0.37103958,0.023408871,-1.21504947,0.067659942,-0.804229018,0.824702179,0.008642639,0.140278811,0.809308269,0.117980113
-0.38869002,-0.516386574,-1.32287163,-0.561713317,0.54795068,0.02186132,0.204827619,-1.129593744,0.165672007,-0.829327416,0.599392101,-0.247925318,-0.163908023,0.649330831,0.14424753
-0.358075534,-0.369427234,-1.32287163,-0.64578725,0.631493887,-0.305185924,0.567665117,0.211957458,0.263684073,-0.937085305,0.285504744,-0.29413633,-0.442362469,0.730705366,0.170946619
-0.628895985,0.152011992,-1.717810542,-0.883996728,0.631493887,-0.46010304,0.567665117,-0.452698187,0.263684073,-0.711290508,0.479457147,-0.481007174,-0.567868972,0.686224288,0.147736784
-0.570021974,0.694528296,-1.215161018,-1.094181562,0.732522881,-0.674036199,0.930502614,-0.578858734,0.067659942,-0.66436304,0.208147809,-0.373035492,-0.737538477,0.698505325,0.163524058
-0.690124956,0.66336404,-1.143353943,-0.512670189,0.93458087,-0.828953315,0.749083865,0.340639183,0.067659942,-0.45560308,-0.385930656,-0.516048856,-0.853535349,0.712857546,0.171183436
-0.671285273,0.490560373,-1.251064555,-0.687824217,0.489664722,-0.735511245,0.930502614,-0.585649649,0.067659942,0.127849866,0.598126979,-0.372347835,-0.745538899,0.633571648,0.156908551
-0.60299142,0.268276044,-1.358775167,-1.388440328,0.143834703,-0.745347252,0.930502614,-0.545371801,-0.030352123,0.016866768,-0.543000353,-0.555553062,-0.722830367,0.597130694,0.127184079
-0.675995194,0.262631497,-1.646003467,-0.919027534,-0.176738067,-0.885510357,0.930502614,-0.330868373,-0.030352123,-0.423552991,-0.068017032,-0.556253993,-0.827242873,0.572078074,0.093324949
-0.701899759,0.298093869,-1.681907005,-1.444489617,-0.324395828,-0.996165439,1.293340111,-0.415510816,-0.128364189,-0.514394279,0.107573286,-0.764661172,-0.904776283,0.637451001,0.030747396
-0.664220392,0.275189944,-1.538292855,-0.673811895,-0.528396681,-1.323212683,0.567665117,-0.93204727,-0.128364189,-0.874980277,0.241786836,-0.802258883,-1.173431461,0.587608735,0.022126178
-0.553537251,0.035827595,-1.394678705,-1.325384878,-0.48371078,-1.446162774,0.386246368,-0.66880785,-0.422400385,-0.705207592,0.045113513,-0.712881057,-1.259720123,0.466178261,-0.018855488
