SPX YOY,GS FCI,ST FED Financial Stress Index,US M2 Growth
0.160162765,0.156790931,0.078937322,0.636225892
0.217698493,0.204819774,0.470451873,0.672138133
0.432462573,0.276863038,0.685329627,0.690094253
0.436136932,0.276863038,1.034961226,0.708050374
-0.200857317,-0.167403756,0.592458734,0.761918735
-0.537091937,-0.527620076,0.009739402,0.779874855
-1.274931108,-0.875829184,-1.031871404,0.708050374
-1.52231533,-0.671706603,-0.205138352,0.636225892
-0.807003728,-0.311490284,0.29927807,0.636225892
-0.644101459,-0.251454231,0.590637736,0.654182012
-0.158772758,0.000697193,0.943911331,0.654182012
-0.47952862,-0.191418177,0.423105928,0.600313651
-0.542776242,0.000697193,0.261037114,0.528489169
-0.344945944,0.264855827,0.532365802,0.456664688
-0.845329195,0.084747667,-0.348997187,0.420752447
-0.726493035,0.168798142,-0.048532531,0.348927965
-0.374555149,0.156790931,-0.379954151,0.187322882
0.233047178,0.372920723,-0.090415483,0.079586159
1.063433938,0.553028883,0.142672249,0.151410641
1.233283518,0.781165885,0.282889089,0.151410641
0.655735745,0.745144253,0.044338362,0.133454521
-1.425620222,-1.103966187,-7.276073244,-0.459097453
-1.381014184,-0.815793131,-4.746707144,-1.68011364
-0.769720362,-0.41955518,-1.587275767,-2.57791966
-0.330100369,0.216826984,-0.798783671,-2.757480864
-0.361005738,0.601057725,-0.399985128,-2.811349225
0.492765926,1.05733173,0.08986331,-2.775436984
0.133959686,1.021310098,-0.374491158,-2.919085948
0.300986982,1.129374994,-0.452794068,-2.901129827
0.25760353,1.561634577,-0.015754569,-3.00886655
0.430180104,1.981886949,0.395790959,-3.098647152
0.379195799,2.101959056,0.41217994,-3.260252235
0.615576546,2.089951845,0.880176404,-3.47572568
3.08706336,1.825793211,0.736317569,-2.990910429
3.300720587,2.246045584,1.224345009,-1.949455446
2.687352011,2.378124901,1.237091994,-1.24916675
2.155041535,2.522211428,1.302647919,-0.997781065
2.114195227,2.666297956,1.136937109,-0.979824944
1.71146691,2.714326799,1.082307172,-1.087561667
1.776744986,2.654290746,0.900207381,-0.943912703
1.639158797,2.498197007,1.029498232,-0.925956583
1.727421099,2.678305167,0.880176404,-0.890044342
1.299746885,2.606261903,0.714465594,-0.925956583
0.792151352,2.318088847,0.683508629,-0.692527018
0.251243127,1.885829264,0.383043974,-0.459097453
0.086043047,1.561634577,-0.043069538,-0.33340461
-0.448088293,1.189411047,0.322951043,-0.046106683
-1.225148572,0.264855827,-0.993630448,0.277103484
-1.648064014,-0.167403756,0.04615936,0.330971845
-1.848490888,-0.311490284,-0.354460181,0.456664688
-1.530777013,0.012704404,0.546933786,0.654182012
-2.107002425,-0.995901291,0.140851251,0.869655457
-2.37046516,-1.656297876,-0.072205504,1.085128902
-2.336066413,-1.091958976,0.288352082,1.282646226
-2.356718165,-0.815793131,-0.469183049,1.516075792
-2.108813947,-0.587656129,0.157240233,1.641768634
-1.649872449,-0.587656129,0.599742725,1.767461477
-1.78601363,-0.863821974,-0.735048744,2.072715524
-1.488682498,-0.503605654,0.304741063,2.180452246
