,S&P 500 Growth Total Return Index,S&P 500 High Beta Total Return Index,S&P 500 Quality U.S. Dollar Gross Total Return Index,S&P 500 QVML Multi-Factor Index (USD) TR,S&P 500 Value Total Return Index,S&P 500 Revenue-Weighted Index (TR),S&P 500 Minimum Volatility Total Return Index,S&P 500 Equal Weighted USD Total Return Index,S&P 500 Buyback Total Return Index,S&P 500 Low Volatility Total Return Index,S&P 500 Momentum U.S. Dollar Gross Total Return Index,S&P 500 Enhanced Value Total Return Index,S&P 500 Pure Growth Total Return Index,S&P 500 Dividend Aristocrats Total Return Index,S&P 500 Pure Value Total Return Index,S&P 500 Low Volatility High Dividend Index,S&P 500 High Dividend Total Return Index,S&P 100 Total Return 4 JAN 1988 Index
,SPTRSGX Index,SP5HBIT Index,SPXQUT Index,SPXQLMUT Index,SPTRSVX Index,REVWLT Index,SP5MVT Index,SPXEWTR Index,SPBUYUT Index,SP5LVIT Index,SP500MUT Index,SPXEVUT Index,SPTRXPG Index,SPDAUDT Index,SPTRXPV Index,SP5LVHDT Index,SPXHDUT Index,SPTR100 Index
2020-03-19,3974.58,8774.55,1840.01,1043.11,4521.128,10415.67,14960.36,5782.43,18976.04,17690.92,1225.744,934.16,11065.21,2250.122,7272.02,19410.57,16429.65,2324.77
2020-03-20,3807.93,8445.94,1748.96,992.73,4318.497,9989.767,14331.31,5514.74,17997.57,16589.31,1165.19,900.393,10599.25,2120.573,7019.5,18515.89,15770.19,2222.98
2020-03-21,3807.93,8445.94,1748.96,992.73,4318.497,9989.767,14331.31,5514.74,17997.57,16589.31,1165.19,900.393,10599.25,2120.573,7019.5,18515.89,15770.19,2222.98
2020-03-22,3807.93,8445.94,1748.96,992.73,4318.497,9989.767,14331.31,5514.74,17997.57,16589.31,1165.19,900.393,10599.25,2120.573,7019.5,18515.89,15770.19,2222.98
2020-03-23,3735.34,8266.53,1687.09,953.44,4135.081,9642.573,13780.77,5312.93,17439.7,15791.3,1116.255,854.663,10388.98,2000.102,6624.99,17594.6,14908.21,2169.47
2020-03-24,4077.89,9384.6,1854.46,1046.49,4535.679,10514.61,15027.92,5873.89,19562.31,17290.88,1228.975,960.877,11566.71,2197.031,7479.72,19235.5,16559.92,2358.38
2020-03-25,4097.7,9639.44,1877.59,1067.37,4627.827,10665.36,15265.86,6018.85,20133.14,17685.61,1242.374,992.801,11829.56,2244.102,7723.99,19823,17143.32,2368.34
2020-03-26,4342.66,10175.56,1990.52,1130.92,4932.941,11325.631,16238.47,6385.82,21548.52,18901.46,1320.515,1059.623,12545.53,2378.723,8165.95,21070.96,18235.81,2513.08
2020-03-27,4183.73,9580.62,1921.64,1106.99,4785.282,10946.99,15780.35,6177.98,20689.94,18796.21,1287.754,1019.994,11980.28,2319.537,7853.73,20552.95,17590.19,2425.03
2020-03-28,4183.73,9580.62,1921.64,1106.99,4785.282,10946.99,15780.35,6177.98,20689.94,18796.21,1287.754,1019.994,11980.28,2319.537,7853.73,20552.95,17590.19,2425.03
2020-03-29,4183.73,9580.62,1921.64,1106.99,4785.282,10946.99,15780.35,6177.98,20689.94,18796.21,1287.754,1019.994,11980.28,2319.537,7853.73,20552.95,17590.19,2425.03
2020-03-30,4338.13,9776.95,1990.51,1140.53,4926.738,11289.7,16294.29,6338.12,21125.23,19354.73,1339.334,1037.914,12331.28,2393.441,7967.13,20922.82,17784.64,2512.5
