,NFCIADJ Index
#NAME?,0.553249
1978-01-20,-0.62924
1978-01-27,-0.650207
1978-02-03,-0.66387
1978-02-10,-0.667732
1978-02-17,-0.659554
1978-02-24,-0.638843
1978-03-03,-0.607763
1978-03-10,-0.569659
1978-03-17,-0.527844
1978-03-24,-0.48345
1978-03-31,-0.436411
1978-04-07,-0.383866
1978-04-14,-0.323601
1978-04-21,-0.256939
1978-04-28,-0.187661
1978-05-05,-0.121292
1978-05-12,-0.062512
1978-05-19,-0.014792
1978-05-26,0.021201
1978-06-02,0.046695
1978-06-09,0.06205
1978-06-16,0.069468
1978-06-23,0.068973
1978-06-30,0.062529
1978-07-07,0.052186
1978-07-14,0.038007
1978-07-21,0.018399
1978-07-28,-0.010506
1978-08-04,-0.053489
1978-08-11,-0.110365
1978-08-18,-0.172906
1978-08-25,-0.226645
1978-09-01,-0.254294
1978-09-08,-0.235906
1978-09-15,-0.15852
1978-09-22,-0.017537
1978-09-29,0.186622
1978-10-06,0.441494
1978-10-13,0.731852
1978-10-20,1.034753
1978-10-27,1.324754
1978-11-03,1.570286
1978-11-10,1.752262
1978-11-17,1.856333
1978-11-24,1.875729
1978-12-01,1.827901
1978-12-08,1.729845
1978-12-15,1.599771
1978-12-22,1.45274
1978-12-29,1.294281
1979-01-05,1.124862
1979-01-12,0.946569
1979-01-19,0.763765
1979-01-26,0.585462
1979-02-02,0.420915
1979-02-09,0.276468
1979-02-16,0.150845
1979-02-23,0.039209
1979-03-02,-0.062231
1979-03-09,-0.157241
1979-03-16,-0.241782
1979-03-23,-0.309589
1979-03-30,-0.354697
1979-04-06,-0.377091
1979-04-13,-0.382259
1979-04-20,-0.379059
1979-04-27,-0.375732
1979-05-04,-0.374109
1979-05-11,-0.368871
1979-05-18,-0.351041
1979-05-25,-0.313984
1979-06-01,-0.257695
1979-06-08,-0.191258
1979-06-15,-0.125378
1979-06-22,-0.069782
1979-06-29,-0.025554
1979-07-06,0.01092
1979-07-13,0.049524
1979-07-20,0.097854
1979-07-27,0.156104
1979-08-03,0.221984
1979-08-10,0.293333
1979-08-17,0.373565
1979-08-24,0.469273
1979-08-31,0.588363
1979-09-07,0.733298
1979-09-14,0.901767
1979-09-21,1.082409
1979-09-28,1.26161
1979-10-05,1.431196
1979-10-12,1.586363
1979-10-19,1.722087
1979-10-26,1.830928
1979-11-02,1.902579
1979-11-09,1.916781
1979-11-16,1.86925
1979-11-23,1.763399
1979-11-30,1.620656
1979-12-07,1.468589
1979-12-14,1.331212
1979-12-21,1.222043
1979-12-28,1.130659
1980-01-04,1.042041
1980-01-11,0.947516
1980-01-18,0.84706
1980-01-25,0.763703
1980-02-01,0.732901
1980-02-08,0.78448
1980-02-15,0.939494
1980-02-22,1.20048
1980-02-29,1.551899
1980-03-07,1.961848
1980-03-14,2.405481
1980-03-21,2.841791
1980-03-28,3.226056
1980-04-04,3.526048
1980-04-11,3.69182
1980-04-18,3.698497
1980-04-25,3.54889
1980-05-02,3.273002
1980-05-09,2.925385
1980-05-16,2.574682
1980-05-23,2.262682
1980-05-30,1.998583
1980-06-06,1.772207
1980-06-13,1.548889
1980-06-20,1.300739
1980-06-27,1.035581
1980-07-04,0.78325
1980-07-11,0.571431
1980-07-18,0.436562
1980-07-25,0.37683
1980-08-01,0.379876
1980-08-08,0.427874
1980-08-15,0.496071
1980-08-22,0.569301
1980-08-29,0.653466
1980-09-05,0.742015
1980-09-12,0.815033
1980-09-19,0.872615
1980-09-26,0.905336
1980-10-03,0.918311
1980-10-10,0.926303
1980-10-17,0.968544
1980-10-24,1.055097
1980-10-31,1.205003
1980-11-07,1.412801
1980-11-14,1.656726
1980-11-21,1.928946
1980-11-28,2.215527
1980-12-05,2.477933
1980-12-12,2.694785
1980-12-19,2.855837
1980-12-26,2.900631
1981-01-02,2.83594
1981-01-09,2.662359
1981-01-16,2.414511
1981-01-23,2.131146
1981-01-30,1.861522
1981-02-06,1.623538
1981-02-13,1.434862
1981-02-20,1.28922
1981-02-27,1.152944
1981-03-06,1.034554
1981-03-13,0.939619
1981-03-20,0.884089
1981-03-27,0.884826
1981-04-03,0.946324
1981-04-10,1.045176
1981-04-17,1.167582
1981-04-24,1.276897
1981-05-01,1.374807
1981-05-08,1.482696
1981-05-15,1.619382
1981-05-22,1.798301
1981-05-29,2.033528
1981-06-05,2.294297
1981-06-12,2.566475
1981-06-19,2.821398
1981-06-26,3.047518
1981-07-03,3.241714
1981-07-10,3.401298
1981-07-17,3.518411
1981-07-24,3.572943
1981-07-31,3.567372
1981-08-07,3.497598
1981-08-14,3.389757
